Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Compass X,Compass Y,Compass Z,Lidar,Temperature,Time
-4,31,-261,-72,68,27,181,225,-18,53,23.91,30976
-3,32,-263,-72,67,26,181,225,-19,54,23.91,31062
-5,32,-262,-72,68,26,182,225,-19,52,23.97,31149
-3,32,-263,-72,68,27,185,226,-17,52,23.87,31235
-38,-4,-254,-72,68,26,181,231,36,50,23.93,31322
-17,1,-258,-71,67,26,186,228,-21,55,23.87,31408
-10,79,-270,-72,67,26,185,226,-18,53,23.81,31495
-11,84,-272,-72,67,25,180,227,-21,51,23.99,31582
-11,10,-259,-72,67,30,184,226,-18,52,23.81,31668
-4,32,-262,-73,68,22,183,227,-20,54,23.91,31755
-4,31,-264,-72,67,29,181,226,-20,52,23.91,31841
-2,30,-262,-72,67,27,183,226,-16,53,23.87,31928
-3,30,-262,-72,68,21,183,226,-19,53,23.79,32014
-3,31,-263,-72,67,32,179,229,-21,56,23.87,32101
-3,31,-264,-73,67,21,184,226,-18,52,23.81,32187
-6,32,-263,-72,67,28,184,228,-20,54,23.85,32274
-2,32,-264,-72,68,27,183,224,-20,50,23.85,32360
-4,30,-261,-73,67,23,181,222,-16,52,24.11,32447
-5,32,-255,-72,67,31,185,220,-21,54,23.87,32533
-4,32,-257,-73,67,22,186,221,-20,52,23.87,32620
-4,32,-262,-72,67,28,183,224,-18,55,23.81,32706
-3,32,-263,-71,68,27,183,223,-20,52,23.85,32793
-5,31,-263,-72,68,24,186,224,-20,54,24.09,32879
-4,30,-262,-71,67,30,185,225,-19,52,23.91,32966
-4,33,-263,-72,67,22,184,223,-19,51,23.87,33052
-5,31,-268,-72,67,28,184,222,-18,54,23.87,33139
-4,32,-261,-72,67,25,183,219,-23,55,23.91,33225
-5,32,-262,-72,68,25,182,226,-18,52,23.87,33312
-4,31,-261,-72,67,29,183,222,-19,51,23.87,33398
-3,34,-259,-72,68,23,184,222,-18,54,23.85,33485
15,67,-272,-72,67,28,164,267,-24,50,23.91,33572
-5,28,-256,-71,66,24,185,221,-18,52,23.93,33658
9,-10,-256,-72,68,27,181,222,-18,51,23.87,33745
-14,85,-265,-71,67,26,181,215,-20,53,23.81,33831
-12,58,-266,-72,68,23,185,220,-10,52,23.81,33918
-4,31,-264,-72,67,30,182,223,-17,55,23.87,34004
-3,33,-262,-72,67,23,181,222,-19,53,23.87,34092
-4,30,-262,-72,67,26,183,221,-21,54,23.87,34178
-3,33,-263,-71,66,29,181,223,-18,52,23.91,34265
-4,31,-261,-72,68,23,182,223,-21,53,23.81,34351
-4,33,-260,-72,67,29,182,223,-19,53,23.85,34438
-6,32,-264,-72,66,26,183,228,-19,53,23.81,34524
-3,30,-260,-72,69,26,186,229,-18,52,23.87,34611
-4,32,-261,-72,68,28,183,224,-21,54,23.91,34697
-4,31,-263,-72,68,21,183,223,-19,51,23.91,34784
-3,32,-262,-71,68,32,184,222,-19,54,23.91,34870
-5,34,-260,-72,67,23,183,223,-19,53,23.93,34957
-4,34,-264,-72,66,29,184,227,-18,53,23.81,35043
-7,31,-265,-71,67,26,185,225,-21,55,23.93,35130
-7,30,-263,-72,68,23,185,223,-19,54,23.91,35216
-6,32,-259,-72,68,29,182,223,-19,51,23.93,35303
-1,32,-262,-73,67,25,182,219,-20,53,24.03,35389
-4,30,-263,-72,67,26,183,223,-17,55,23.85,35476
-3,32,-264,-71,67,27,183,223,-19,55,23.91,35563
-4,32,-262,-72,68,25,182,224,-17,53,23.91,35649
-3,32,-262,-71,68,27,184,224,-18,53,23.85,35736
20,65,-271,-72,68,26,187,223,-20,53,23.81,35822
-3,33,-263,-71,67,26,182,223,-18,56,23.97,35909
-2,26,-262,-72,67,27,181,221,-18,52,23.87,35995
5,-65,-251,-72,67,26,182,220,-19,51,23.97,36082
1,11,-259,-72,68,27,187,222,-20,54,23.81,36168
-1,65,-264,-72,68,25,186,219,-11,52,23.87,36255
-4,32,-263,-72,67,25,186,224,-18,56,23.97,36341
-4,32,-262,-72,67,28,185,222,-17,55,23.97,36428
-5,32,-263,-71,67,25,183,224,-19,54,23.91,36514
-3,36,-261,-72,68,26,182,219,-19,52,23.91,36601
-3,30,-264,-72,67,26,183,222,-19,54,23.79,36687
-3,33,-263,-72,68,27,182,223,-18,51,23.81,36774
-2,30,-264,-73,69,26,181,222,-21,50,23.97,36860
-1,34,-271,-70,66,26,185,222,-20,50,23.87,36947
-9,29,-256,-72,66,28,184,224,-19,54,23.79,37033
-6,30,-266,-73,68,24,183,222,-21,55,23.97,37121
-4,32,-264,-71,66,26,183,221,-16,53,23.97,37207
-2,32,-263,-73,68,28,183,221,-20,52,23.81,37294
-3,32,-260,-72,67,24,184,224,-20,55,23.87,37380
-6,30,-264,-72,68,27,185,220,-20,49,23.97,37467
-1,31,-262,-72,67,26,184,221,-18,53,23.91,37553
-2,32,-263,-71,68,25,182,219,-18,54,23.79,37640
-4,31,-263,-73,67,28,180,222,-18,48,23.97,37726
-4,31,-259,-72,67,23,181,225,-13,52,23.91,37813
-4,34,-261,-72,67,28,185,224,-19,52,23.97,37899
-4,32,-262,-71,67,26,183,223,-16,49,23.97,37986
7,18,-267,-71,67,26,187,229,-24,53,23.93,38073
-3,34,-261,-72,66,28,185,230,-16,53,23.93,38159
-4,32,-261,-72,68,22,181,229,-19,53,23.87,38246
6,3,-259,-71,67,32,183,221,-21,54,23.91,38332
-8,53,-267,-73,67,19,177,215,-19,53,23.85,38419
-15,27,-263,-71,67,29,184,223,-20,51,24.17,38505
